pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,174,185
11.972891566265062,173,118
14.954819277108435,158,138
17.936746987951807,142,146
20.918674698795183,158,134
23.900602409638555,204,170
26.88253012048193,221,210
29.864457831325304,270,231
32.846385542168676,315,277
35.82831325301205,297,304
38.81024096385542,364,378
41.7921686746988,483,448
44.774096385542165,487,444
47.756024096385545,572,489
50.737951807228924,662,593
53.71987951807229,703,630
56.70180722891567,772,662
59.683734939759034,873,764
62.665662650602414,944,800
65.6475903614458,1050,831
68.62951807228916,1103,839
71.61144578313252,1285,962
74.59337349397592,1343,1036
77.57530120481928,1450,1140
80.55722891566265,1370,1045
83.53915662650603,1316,994
86.52108433734941,1129,877
89.50301204819277,1155,887
92.48493975903615,1104,805
95.46686746987953,1023,780
98.4487951807229,972,778
101.43072289156626,950,695
104.41265060240966,909,722
107.39457831325302,851,632
110.37650602409639,800,645
113.35843373493977,736,564
116.34036144578315,749,566
119.32228915662651,763,517
122.30421686746989,740,511
125.28614457831327,691,488
128.26807228915663,666,459
131.25,673,480
134.23192771084337,623,437
137.21385542168676,561,366
140.19578313253012,501,363
143.17771084337352,435,359
146.15963855421688,397,296
149.14156626506025,389,275
152.1234939759036,339,273
155.105421686747,317,267
158.08734939759037,321,255
161.06927710843374,296,219
164.05120481927713,309,230
167.0331325301205,326,218
170.01506024096386,303,225
172.99698795180723,304,192
175.97891566265062,288,194
178.960843373494,262,196
181.94277108433738,301,179
184.92469879518075,293,174
187.9066265060241,303,212
190.88855421686748,326,190
193.87048192771084,421,232
196.85240963855424,524,340
199.8343373493976,875,491
202.816265060241,1423,879
205.79819277108436,2056,1212
208.78012048192772,2722,1647
211.7620481927711,3047,1760
214.74397590361446,2775,1629
217.72590361445785,2104,1187
220.7078313253012,1344,824
223.6897590361446,669,477
226.67168674698797,319,248
229.65361445783134,203,156
232.6355421686747,136,128
235.6174698795181,135,108
238.59939759036146,124,97
241.58132530120483,137,102
244.56325301204822,125,89
247.5451807228916,124,105
250.52710843373495,138,81
253.50903614457832,148,87
256.4909638554217,128,78
259.47289156626505,120,81
262.4548192771084,117,81
265.43674698795184,128,76
268.4186746987952,113,70
271.40060240963857,114,67
274.38253012048193,111,76
277.36445783132535,110,82
280.3463855421687,105,69
283.3283132530121,115,86
286.31024096385545,123,80
289.2921686746988,123,85
292.2740963855422,126,67
295.25602409638554,116,70
298.2379518072289,107,67
301.21987951807233,102,71
304.2018072289157,100,63
307.18373493975906,104,95
310.1656626506024,107,73
313.1475903614458,126,73
316.12951807228916,99,79
319.1114457831326,129,75
322.09337349397595,110,66
325.0753012048193,112,76
328.0572289156627,105,75
331.03915662650604,132,77
334.0210843373494,113,58
337.0030120481928,102,78
339.98493975903614,107,60
342.96686746987956,103,80
345.9487951807229,97,80
348.9307228915663,95,66
351.91265060240966,120,55
354.894578313253,107,63
357.87650602409644,107,77
360.8584337349398,109,57
363.8403614457832,103,68
366.82228915662654,127,67
369.8042168674699,108,72
372.78614457831327,129,77
375.76807228915663,106,69
378.75,126,87
381.7319277108434,130,76
384.7138554216868,121,88
387.69578313253015,117,100
390.6777108433735,123,96
393.6596385542169,123,66
396.64156626506025,120,72
399.62349397590367,123,79
402.60542168674704,129,63
405.5873493975904,125,65
408.56927710843377,96,81
411.55120481927713,111,71
414.5331325301205,91,66
417.51506024096386,86,58
420.4969879518072,71,48
423.47891566265065,77,46
426.460843373494,43,36
429.4427710843374,58,29
432.42469879518075,49,38
435.4066265060241,42,30
438.38855421686753,49,33
441.3704819277109,49,21
444.35240963855426,38,17
447.33433734939763,31,24
450.316265060241,35,21
453.29819277108436,28,22
456.2801204819277,28,23
459.2620481927711,36,23
462.2439759036145,23,24
465.2259036144579,22,25
468.20783132530124,25,14
471.1897590361446,29,17
474.171686746988,21,15
477.15361445783134,25,15
480.13554216867476,37,18
