pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,198,178
11.972891566265062,178,126
14.954819277108435,165,128
17.936746987951807,150,135
20.918674698795183,154,144
23.900602409638555,170,168
26.88253012048193,245,231
29.864457831325304,282,260
32.846385542168676,273,251
35.82831325301205,345,292
38.81024096385542,375,383
41.7921686746988,503,448
44.774096385542165,536,445
47.756024096385545,605,527
50.737951807228924,630,601
53.71987951807229,772,672
56.70180722891567,887,773
59.683734939759034,964,789
62.665662650602414,1085,798
65.6475903614458,1075,876
68.62951807228916,1175,875
71.61144578313252,1344,1059
74.59337349397592,1316,1057
77.57530120481928,1467,1132
80.55722891566265,1485,1167
83.53915662650603,1436,1080
86.52108433734941,1320,1007
89.50301204819277,1323,976
92.48493975903615,1409,939
95.46686746987953,1330,828
98.4487951807229,1394,822
101.43072289156626,1240,727
104.41265060240966,1190,741
107.39457831325302,1077,718
110.37650602409639,1072,619
113.35843373493977,1084,579
116.34036144578315,991,587
119.32228915662651,1017,621
122.30421686746989,1000,570
125.28614457831327,943,590
128.26807228915663,966,501
131.25,882,536
134.23192771084337,877,456
137.21385542168676,781,461
140.19578313253012,612,415
143.17771084337352,557,345
146.15963855421688,509,315
149.14156626506025,476,278
152.1234939759036,437,282
155.105421686747,420,246
158.08734939759037,388,234
161.06927710843374,387,208
164.05120481927713,357,230
167.0331325301205,359,226
170.01506024096386,348,192
172.99698795180723,332,184
175.97891566265062,289,208
178.960843373494,320,165
181.94277108433738,282,185
184.92469879518075,330,176
187.9066265060241,321,181
190.88855421686748,360,200
193.87048192771084,448,241
196.85240963855424,640,323
199.8343373493976,1080,609
202.816265060241,1744,941
205.79819277108436,2837,1458
208.78012048192772,3798,1891
211.7620481927711,4332,2042
214.74397590361446,4003,1944
217.72590361445785,3017,1486
220.7078313253012,1995,983
223.6897590361446,1056,593
226.67168674698797,480,336
229.65361445783134,276,198
232.6355421686747,187,129
235.6174698795181,143,95
238.59939759036146,171,101
241.58132530120483,175,85
244.56325301204822,175,111
247.5451807228916,178,100
250.52710843373495,168,109
253.50903614457832,141,80
256.4909638554217,155,108
259.47289156626505,149,94
262.4548192771084,162,74
265.43674698795184,147,81
268.4186746987952,159,82
271.40060240963857,148,70
274.38253012048193,153,77
277.36445783132535,144,81
280.3463855421687,140,82
283.3283132530121,168,65
286.31024096385545,161,67
289.2921686746988,145,88
292.2740963855422,127,84
295.25602409638554,135,76
298.2379518072289,129,91
301.21987951807233,153,65
304.2018072289157,147,73
307.18373493975906,155,65
310.1656626506024,155,90
313.1475903614458,140,83
316.12951807228916,156,74
319.1114457831326,142,83
322.09337349397595,138,73
325.0753012048193,147,93
328.0572289156627,134,76
331.03915662650604,138,75
334.0210843373494,139,81
337.0030120481928,141,79
339.98493975903614,150,80
342.96686746987956,144,59
345.9487951807229,124,71
348.9307228915663,130,72
351.91265060240966,121,69
354.894578313253,139,86
357.87650602409644,133,71
360.8584337349398,140,83
363.8403614457832,146,78
366.82228915662654,139,81
369.8042168674699,137,94
372.78614457831327,147,70
375.76807228915663,181,83
378.75,138,75
381.7319277108434,170,96
384.7138554216868,166,84
387.69578313253015,127,81
390.6777108433735,177,83
393.6596385542169,153,67
396.64156626506025,175,84
399.62349397590367,145,99
402.60542168674704,170,94
405.5873493975904,150,76
408.56927710843377,170,85
411.55120481927713,138,76
414.5331325301205,117,55
417.51506024096386,134,67
420.4969879518072,106,72
423.47891566265065,98,56
426.460843373494,94,49
429.4427710843374,84,40
432.42469879518075,84,34
435.4066265060241,63,32
438.38855421686753,64,47
441.3704819277109,53,22
444.35240963855426,37,25
447.33433734939763,38,17
450.316265060241,34,19
453.29819277108436,49,29
456.2801204819277,32,19
459.2620481927711,31,19
462.2439759036145,25,21
465.2259036144579,33,25
468.20783132530124,33,18
471.1897590361446,34,14
474.171686746988,43,16
477.15361445783134,39,18
480.13554216867476,45,26
483.1174698795181,48,28
486.0993975903615,80,46
489.08132530120486,92,60
492.0632530120482,156,54
495.0451807228916,199,116
498.02710843373495,243,120
501.0090361445783,355,146
503.99096385542174,404,202
506.9728915662651,501,231
509.95481927710847,513,271
512.9367469879518,591,258
515.9186746987951,489,224
518.9006024096386,412,202
