pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,218,222
11.972891566265062,192,163
14.954819277108435,194,185
17.936746987951807,191,185
20.918674698795183,223,176
23.900602409638555,234,216
26.88253012048193,265,237
29.864457831325304,341,249
32.846385542168676,350,319
35.82831325301205,410,359
38.81024096385542,453,437
41.7921686746988,561,502
44.774096385542165,551,529
47.756024096385545,711,590
50.737951807228924,708,692
53.71987951807229,824,733
56.70180722891567,975,824
59.683734939759034,1022,803
62.665662650602414,1101,846
65.6475903614458,1206,906
68.62951807228916,1328,1011
71.61144578313252,1501,1072
74.59337349397592,1554,1145
77.57530120481928,1715,1326
80.55722891566265,1597,1265
83.53915662650603,1538,1200
86.52108433734941,1426,1147
89.50301204819277,1407,1152
92.48493975903615,1363,1074
95.46686746987953,1329,1039
98.4487951807229,1349,979
101.43072289156626,1253,893
104.41265060240966,1204,872
107.39457831325302,1165,795
110.37650602409639,1101,789
113.35843373493977,1056,766
116.34036144578315,1053,716
119.32228915662651,1078,690
122.30421686746989,1056,701
125.28614457831327,1113,636
128.26807228915663,1021,678
131.25,1025,613
134.23192771084337,968,536
137.21385542168676,924,530
140.19578313253012,824,421
143.17771084337352,648,396
146.15963855421688,583,383
149.14156626506025,590,337
152.1234939759036,536,296
155.105421686747,455,285
158.08734939759037,459,290
161.06927710843374,442,260
164.05120481927713,434,273
167.0331325301205,420,264
170.01506024096386,418,231
172.99698795180723,411,240
175.97891566265062,413,238
178.960843373494,398,217
181.94277108433738,381,201
184.92469879518075,380,218
187.9066265060241,426,245
190.88855421686748,435,234
193.87048192771084,466,330
196.85240963855424,727,472
199.8343373493976,1143,781
202.816265060241,2071,1224
205.79819277108436,3166,1998
208.78012048192772,4347,2434
211.7620481927711,4929,2717
214.74397590361446,4583,2542
217.72590361445785,3680,1976
220.7078313253012,2267,1237
223.6897590361446,1194,711
226.67168674698797,551,367
229.65361445783134,279,219
232.6355421686747,215,172
235.6174698795181,204,108
238.59939759036146,187,126
241.58132530120483,206,112
244.56325301204822,174,128
247.5451807228916,197,131
250.52710843373495,194,133
253.50903614457832,203,123
256.4909638554217,194,113
259.47289156626505,177,115
262.4548192771084,197,106
265.43674698795184,190,95
268.4186746987952,183,97
271.40060240963857,179,110
274.38253012048193,172,99
277.36445783132535,169,95
280.3463855421687,173,92
283.3283132530121,189,101
286.31024096385545,173,96
289.2921686746988,165,89
292.2740963855422,170,100
295.25602409638554,168,109
298.2379518072289,177,112
301.21987951807233,167,104
304.2018072289157,170,106
307.18373493975906,150,105
310.1656626506024,170,102
313.1475903614458,147,87
316.12951807228916,171,104
319.1114457831326,144,98
322.09337349397595,156,95
325.0753012048193,172,106
328.0572289156627,155,104
331.03915662650604,191,112
334.0210843373494,169,98
337.0030120481928,176,89
339.98493975903614,145,74
342.96686746987956,153,105
345.9487951807229,170,98
348.9307228915663,163,101
351.91265060240966,158,105
354.894578313253,147,96
357.87650602409644,160,99
360.8584337349398,170,94
363.8403614457832,174,111
366.82228915662654,165,108
369.8042168674699,156,92
372.78614457831327,191,130
375.76807228915663,190,121
378.75,180,107
381.7319277108434,175,102
384.7138554216868,175,116
387.69578313253015,181,112
390.6777108433735,181,121
393.6596385542169,213,104
396.64156626506025,182,110
399.62349397590367,190,110
402.60542168674704,172,102
405.5873493975904,180,103
408.56927710843377,186,94
411.55120481927713,165,96
414.5331325301205,161,87
417.51506024096386,135,73
420.4969879518072,139,74
423.47891566265065,128,56
426.460843373494,110,68
429.4427710843374,105,45
432.42469879518075,87,35
435.4066265060241,76,36
438.38855421686753,62,52
441.3704819277109,60,29
444.35240963855426,46,32
447.33433734939763,60,26
450.316265060241,48,29
453.29819277108436,37,28
456.2801204819277,44,24
459.2620481927711,49,29
462.2439759036145,33,33
465.2259036144579,27,17
468.20783132530124,39,16
471.1897590361446,38,18
474.171686746988,48,20
477.15361445783134,39,30
480.13554216867476,44,23
483.1174698795181,55,30
486.0993975903615,79,47
489.08132530120486,108,58
492.0632530120482,173,102
495.0451807228916,227,133
498.02710843373495,292,187
501.0090361445783,377,217
503.99096385542174,506,298
506.9728915662651,577,327
509.95481927710847,646,317
512.9367469879518,642,342
515.9186746987951,614,309
518.9006024096386,516,289
521.882530120482,404,220
524.8644578313254,289,196
527.8463855421687,230,120
530.8283132530121,155,104
533.8102409638554,90,84
536.7921686746988,56,41
539.7740963855422,43,38
542.7560240963855,28,19
545.7379518072289,20,22
548.7198795180723,23,9
551.7018072289158,21,6
554.6837349397591,18,15
557.6656626506025,20,10
560.6475903614459,23,17
563.6295180722892,25,13
566.6114457831326,17,11
569.593373493976,26,16
572.5753012048193,19,12
575.5572289156627,24,16
578.539156626506,21,11
581.5210843373494,22,24
584.5030120481928,28,16
587.4849397590361,21,22
590.4668674698796,17,17
593.448795180723,20,10
596.4307228915663,19,13
599.4126506024097,13,12
602.3945783132531,17,12
605.3765060240964,11,12
608.3584337349398,16,10
611.3403614457832,9,10
614.3222891566265,17,7
617.3042168674699,10,5
620.2861445783133,13,4
623.2680722891566,11,6
626.25,11,5
629.2319277108434,11,4
632.2138554216868,7,3
635.1957831325302,10,3
638.1777108433736,7,3
641.1596385542169,8,9
644.1415662650603,10,5
647.1234939759037,11,3
650.105421686747,10,0
653.0873493975904,4,4
656.0692771084338,3,3
659.0512048192771,4,4
662.0331325301205,6,3
665.0150602409639,9,6
667.9969879518072,9,3
670.9789156626507,3,3
673.9608433734941,6,1
676.9427710843374,6,1
679.9246987951808,1,4
682.9066265060242,7,2
685.8885542168675,6,4
688.8704819277109,3,3
691.8524096385543,6,1
694.8343373493976,10,6
697.816265060241,10,0
700.7981927710844,11,2
703.7801204819277,5,2
706.7620481927711,5,6
709.7439759036145,11,5
712.7259036144579,6,5
715.7078313253013,7,2
718.6897590361447,12,4
721.671686746988,6,2
724.6536144578314,11,3
727.6355421686748,9,8
730.6174698795181,9,2
733.5993975903615,5,4
736.5813253012049,8,4
739.5632530120482,8,5
742.5451807228916,8,6
745.527108433735,9,37
748.5090361445783,51,120
