pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,99,38
11.972891566265062,90,25
14.954819277108435,101,24
17.936746987951807,115,31
20.918674698795183,97,32
23.900602409638555,98,42
26.88253012048193,188,31
29.864457831325304,163,31
32.846385542168676,195,40
35.82831325301205,248,40
38.81024096385542,304,40
41.7921686746988,320,41
44.774096385542165,361,34
47.756024096385545,430,34
50.737951807228924,506,38
53.71987951807229,520,50
56.70180722891567,596,28
59.683734939759034,683,33
62.665662650602414,892,38
65.6475903614458,924,38
68.62951807228916,1078,46
71.61144578313252,912,43
74.59337349397592,954,37
77.57530120481928,923,34
80.55722891566265,904,41
83.53915662650603,807,22
86.52108433734941,843,58
89.50301204819277,845,30
92.48493975903615,752,32
95.46686746987953,723,28
98.4487951807229,753,31
101.43072289156626,657,29
104.41265060240966,599,25
107.39457831325302,624,26
110.37650602409639,602,24
113.35843373493977,576,35
116.34036144578315,561,32
119.32228915662651,537,31
122.30421686746989,509,24
125.28614457831327,490,25
128.26807228915663,426,17
131.25,385,24
134.23192771084337,342,20
137.21385542168676,336,6
140.19578313253012,274,14
143.17771084337352,283,14
146.15963855421688,266,7
149.14156626506025,253,13
152.1234939759036,244,14
155.105421686747,219,10
158.08734939759037,238,6
161.06927710843374,253,8
164.05120481927713,222,8
167.0331325301205,230,8
170.01506024096386,230,8
172.99698795180723,234,7
175.97891566265062,259,11
178.960843373494,266,13
181.94277108433738,381,16
184.92469879518075,625,25
187.9066265060241,988,50
190.88855421686748,1481,87
193.87048192771084,2193,122
196.85240963855424,2370,157
199.8343373493976,2237,181
202.816265060241,1461,140
205.79819277108436,928,96
208.78012048192772,482,63
211.7620481927711,221,25
214.74397590361446,120,12
217.72590361445785,107,3
220.7078313253012,121,1
223.6897590361446,117,2
226.67168674698797,116,0
229.65361445783134,97,4
232.6355421686747,109,2
235.6174698795181,110,3
238.59939759036146,95,3
241.58132530120483,98,0
244.56325301204822,94,0
247.5451807228916,96,6
250.52710843373495,91,3
253.50903614457832,92,2
256.4909638554217,83,1
259.47289156626505,101,3
262.4548192771084,75,1
265.43674698795184,104,1
268.4186746987952,86,1
271.40060240963857,82,0
274.38253012048193,101,1
277.36445783132535,105,1
280.3463855421687,95,0
283.3283132530121,97,4
286.31024096385545,86,0
289.2921686746988,85,3
292.2740963855422,85,1
295.25602409638554,78,1
