pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,105,38
11.972891566265062,106,39
14.954819277108435,110,52
17.936746987951807,102,45
20.918674698795183,101,39
23.900602409638555,135,56
26.88253012048193,156,50
29.864457831325304,170,71
32.846385542168676,208,67
35.82831325301205,250,74
38.81024096385542,325,53
41.7921686746988,344,69
44.774096385542165,407,49
47.756024096385545,429,75
50.737951807228924,556,84
53.71987951807229,588,56
56.70180722891567,646,71
59.683734939759034,766,55
62.665662650602414,892,66
65.6475903614458,942,77
68.62951807228916,1092,65
71.61144578313252,1111,70
74.59337349397592,1021,65
77.57530120481928,1039,64
80.55722891566265,996,62
83.53915662650603,983,54
86.52108433734941,937,60
89.50301204819277,938,63
92.48493975903615,915,50
95.46686746987953,823,46
98.4487951807229,851,54
101.43072289156626,795,41
104.41265060240966,814,47
107.39457831325302,803,40
110.37650602409639,723,45
113.35843373493977,704,48
116.34036144578315,741,51
119.32228915662651,747,42
122.30421686746989,743,44
125.28614457831327,709,40
128.26807228915663,591,37
131.25,509,23
134.23192771084337,451,22
137.21385542168676,439,10
140.19578313253012,393,13
143.17771084337352,375,20
146.15963855421688,331,14
149.14156626506025,332,11
152.1234939759036,297,17
155.105421686747,271,12
158.08734939759037,294,9
161.06927710843374,278,10
164.05120481927713,303,8
167.0331325301205,265,11
170.01506024096386,270,17
172.99698795180723,261,16
175.97891566265062,287,16
178.960843373494,273,23
181.94277108433738,453,27
184.92469879518075,728,41
187.9066265060241,1311,77
190.88855421686748,2172,129
193.87048192771084,3000,196
196.85240963855424,3561,255
199.8343373493976,3371,294
202.816265060241,2483,250
205.79819277108436,1354,189
208.78012048192772,640,91
211.7620481927711,306,51
214.74397590361446,175,13
217.72590361445785,147,6
220.7078313253012,148,4
223.6897590361446,149,2
226.67168674698797,126,6
229.65361445783134,122,2
232.6355421686747,152,7
235.6174698795181,150,2
238.59939759036146,138,3
241.58132530120483,127,2
244.56325301204822,152,6
247.5451807228916,124,2
250.52710843373495,118,4
253.50903614457832,123,8
256.4909638554217,133,3
259.47289156626505,129,3
262.4548192771084,142,8
265.43674698795184,113,3
268.4186746987952,118,6
271.40060240963857,96,2
274.38253012048193,114,3
277.36445783132535,128,2
280.3463855421687,128,8
283.3283132530121,113,2
286.31024096385545,121,4
289.2921686746988,113,5
292.2740963855422,121,5
