pulseheight,counts_ch_A,counts_ch_B
8.990963855421686,235,217
11.972891566265062,207,162
14.954819277108435,232,183
17.936746987951807,194,189
20.918674698795183,203,191
23.900602409638555,206,193
26.88253012048193,247,268
29.864457831325304,309,327
32.846385542168676,346,299
35.82831325301205,354,383
38.81024096385542,449,473
41.7921686746988,476,481
44.774096385542165,571,526
47.756024096385545,602,619
50.737951807228924,688,663
53.71987951807229,802,783
56.70180722891567,889,852
59.683734939759034,893,934
62.665662650602414,1019,927
65.6475903614458,1067,1013
68.62951807228916,1206,1091
71.61144578313252,1340,1263
74.59337349397592,1406,1317
77.57530120481928,1506,1449
80.55722891566265,1456,1416
83.53915662650603,1358,1360
86.52108433734941,1290,1253
89.50301204819277,1191,1229
92.48493975903615,1158,1221
95.46686746987953,1153,1175
98.4487951807229,1070,1143
101.43072289156626,1089,1026
104.41265060240966,997,966
107.39457831325302,970,939
110.37650602409639,913,859
113.35843373493977,872,882
116.34036144578315,856,800
119.32228915662651,793,790
122.30421686746989,804,772
125.28614457831327,765,822
128.26807228915663,766,719
131.25,711,689
134.23192771084337,643,654
137.21385542168676,632,602
140.19578313253012,563,506
143.17771084337352,476,475
146.15963855421688,470,413
149.14156626506025,421,373
152.1234939759036,414,321
155.105421686747,370,309
158.08734939759037,352,292
161.06927710843374,384,287
164.05120481927713,364,263
167.0331325301205,328,237
170.01506024096386,346,284
172.99698795180723,303,265
175.97891566265062,330,235
178.960843373494,288,243
181.94277108433738,299,248
184.92469879518075,308,238
187.9066265060241,325,250
190.88855421686748,351,252
193.87048192771084,413,325
196.85240963855424,537,505
199.8343373493976,907,905
202.816265060241,1518,1509
205.79819277108436,2220,2242
208.78012048192772,2894,2818
211.7620481927711,3267,3244
214.74397590361446,3113,2998
217.72590361445785,2273,2346
220.7078313253012,1421,1434
223.6897590361446,768,862
226.67168674698797,391,459
229.65361445783134,221,263
232.6355421686747,162,191
235.6174698795181,149,139
238.59939759036146,147,122
241.58132530120483,142,139
244.56325301204822,155,159
247.5451807228916,172,125
250.52710843373495,129,138
253.50903614457832,135,112
256.4909638554217,132,141
259.47289156626505,131,139
262.4548192771084,133,107
265.43674698795184,122,90
268.4186746987952,158,121
271.40060240963857,140,121
274.38253012048193,143,126
277.36445783132535,117,96
280.3463855421687,125,116
283.3283132530121,120,108
286.31024096385545,121,114
289.2921686746988,127,122
292.2740963855422,132,112
295.25602409638554,114,99
298.2379518072289,120,102
301.21987951807233,112,113
304.2018072289157,118,117
307.18373493975906,143,104
310.1656626506024,139,117
313.1475903614458,124,97
316.12951807228916,123,119
319.1114457831326,117,105
322.09337349397595,114,102
325.0753012048193,110,101
328.0572289156627,107,92
331.03915662650604,88,124
334.0210843373494,113,104
337.0030120481928,128,101
339.98493975903614,111,111
342.96686746987956,116,100
345.9487951807229,139,107
348.9307228915663,114,106
351.91265060240966,132,105
354.894578313253,124,107
357.87650602409644,157,107
360.8584337349398,137,129
363.8403614457832,112,118
366.82228915662654,135,122
369.8042168674699,141,128
372.78614457831327,116,130
375.76807228915663,137,125
378.75,130,116
381.7319277108434,145,131
384.7138554216868,106,135
387.69578313253015,136,124
390.6777108433735,141,125
393.6596385542169,143,115
396.64156626506025,135,151
399.62349397590367,147,134
402.60542168674704,130,117
405.5873493975904,143,125
408.56927710843377,111,99
411.55120481927713,115,115
414.5331325301205,114,94
417.51506024096386,111,120
420.4969879518072,85,96
423.47891566265065,80,72
426.460843373494,67,64
429.4427710843374,63,55
432.42469879518075,65,52
435.4066265060241,65,40
438.38855421686753,52,40
441.3704819277109,44,42
444.35240963855426,43,38
447.33433734939763,33,43
450.316265060241,50,29
453.29819277108436,38,37
456.2801204819277,41,39
459.2620481927711,35,20
462.2439759036145,28,19
465.2259036144579,29,37
468.20783132530124,36,25
471.1897590361446,38,31
474.171686746988,24,24
477.15361445783134,26,30
480.13554216867476,36,21
483.1174698795181,43,43
486.0993975903615,62,46
489.08132530120486,71,79
492.0632530120482,128,110
495.0451807228916,135,161
498.02710843373495,219,231
501.0090361445783,276,247
503.99096385542174,349,319
506.9728915662651,410,343
509.95481927710847,465,417
512.9367469879518,441,385
515.9186746987951,441,354
518.9006024096386,323,310
521.882530120482,282,269
524.8644578313254,201,228
527.8463855421687,142,177
530.8283132530121,99,103
533.8102409638554,61,81
536.7921686746988,37,54
539.7740963855422,27,35
542.7560240963855,16,24
545.7379518072289,9,25
548.7198795180723,12,22
551.7018072289158,2,10
554.6837349397591,13,9
557.6656626506025,13,8
560.6475903614459,12,13
563.6295180722892,20,13
566.6114457831326,6,10
569.593373493976,17,13
572.5753012048193,14,13
575.5572289156627,17,18
578.539156626506,27,25
581.5210843373494,12,20
584.5030120481928,26,23
587.4849397590361,25,16
590.4668674698796,20,18
593.448795180723,17,23
596.4307228915663,5,17
599.4126506024097,14,8
602.3945783132531,12,18
605.3765060240964,10,10
608.3584337349398,8,13
611.3403614457832,5,9
614.3222891566265,6,5
617.3042168674699,10,11
620.2861445783133,2,7
623.2680722891566,6,13
626.25,9,8
629.2319277108434,4,9
632.2138554216868,3,10
635.1957831325302,4,7
638.1777108433736,4,6
641.1596385542169,3,3
644.1415662650603,6,4
647.1234939759037,8,6
650.105421686747,4,1
653.0873493975904,6,3
656.0692771084338,5,5
659.0512048192771,1,4
662.0331325301205,6,5
665.0150602409639,2,2
667.9969879518072,4,3
670.9789156626507,4,5
673.9608433734941,2,4
676.9427710843374,6,6
679.9246987951808,4,4
682.9066265060242,5,3
685.8885542168675,3,3
688.8704819277109,9,4
691.8524096385543,3,3
694.8343373493976,8,8
697.816265060241,6,5
700.7981927710844,5,4
703.7801204819277,4,4
706.7620481927711,5,7
709.7439759036145,3,1
712.7259036144579,3,5
715.7078313253013,6,5
718.6897590361447,4,5
721.671686746988,7,5
724.6536144578314,1,8
727.6355421686748,5,7
730.6174698795181,2,3
733.5993975903615,5,4
736.5813253012049,2,6
739.5632530120482,3,6
742.5451807228916,6,5
745.527108433735,10,32
748.5090361445783,83,106
